question,type,options,images,id,sequence
How would you relate the following with yourself?,multiple_choice,"{""1"":""I focus on logic, analysis, and planning"",""2"":""I’m driven by values, emotion, and do what’s right"",""3"":""I concentrate on details, facts, and believe in practicality"",""4"":""I love exploring new ideas and envision future possibilities""}",,16362ada-5e12-4e25-830f-313bdf7ec67f,7
How much time do you want to spend daily on yourself?,multiple_choice,"{""1"":""5 min – Quick insight & reflection"",""2"":""10 min – A daily story + learning"",""3"":""15+ min – Deep dive into wisdom""}",,16e81b12-f4ea-4c2d-ace5-99507b93a60a,8
What is your age group?,single_choice,"{""1"":""16-25 years"",""2"":""26-35 years"",""3"":""36-50 years"",""4"":""50+ years""}","{""50"":""https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/kitab-data/App-Data/age_50.png"",""16_25"":""https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/kitab-data/App-Data/age_16-25.png"",""26_35"":""https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/kitab-data/App-Data/age_26-45.png"",""36_50"":""https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/kitab-data/App-Data/age_36-50.png""}",36d3b953-8f26-410f-8c64-729e778d8766,1
Choose your learning style,single_choice,"{""1"":""Step by step, I like going slow and steady"",""2"":""Give me something exciting and powerful"",""3"":""I love deep thinking and reflection"",""4"":""Just show me what works""}",,8381d20c-f85b-43ea-b72f-d5d5b5570f17,9
What’s your relationship status?,single_choice,"{""1"":""Single"",""2"":""In a relationship"",""3"":""Married"",""4"":""Divorced/Widowed""}",,a9eda68e-1b05-4de6-936a-c3c39de8baa4,3
What’s your gender?,single_choice,"{""1"":""Male"",""2"":""Female"",""3"":""Others"",""4"":""Prefer not to say""}","{""male_selected"":""https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/kitab-data/App-Data/male_selected.png"",""female_selected"":""https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/kitab-data/App-Data/female_selected.png"",""male_unselected"":""https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/kitab-data/App-Data/male_unselected.png"",""female_unselected"":""https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/kitab-data/App-Data/female_unselected.png""}",b31cc1bb-75f2-453b-985b-3d9f5041da2b,2
What motivates you the most right now?,multiple_choice,"{""1"":""Feeling peaceful inside"",""2"":""Achieving my goals with less stress"",""3"":""Discovering who I really am"",""4"":""Being a better friend/partner/parent"",""5"":""Finding direction and purpose"",""6"":""Making better life choices""}",,d3349488-6ad2-465f-a8c0-653d4b9002f5,6
Do you have kids?,single_choice,"{""1"":""Yes"",""2"":""No""}",,e81709b2-e9aa-42d6-b843-4e62cfc18f99,4
What’s on your mind these days?,multiple_choice,"{""1"":""I want to feel more calm and balanced"",""2"":""I want to be more confident"",""3"":""I want to improve my relationships"",""4"":""I want clarity about my life or career"",""5"":""I want to grow and be my best self"",""6"":""I just love learning new things"",""7"":""I’m just exploring""}",,f9c9f28d-33c8-4ee4-9883-0916d15d90ef,5
